,RF1,RF2,RF3,RF4,RF5,RF6,RF7,RF8,RF9,RF10,RF11,RF12,RF13,RF14,RF15,Hosp_rate,Hosp_rate.lci,Hosp_rate.uci,Hosp_Prob1,Hosp_Prob.lci,Hosp_Prob.uci,Hosp_Prob
41,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.006,0.003,0.013,0.005982036,0.002995504,0.012915865,0.6
42,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.009,0.004,0.016,0.008959621,0.003992011,0.01587268,0.9
43,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0.021,0.01,0.044,0.020781035,0.009950166,0.043046043,2.08
44,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.028,0.014,0.058,0.027611633,0.013902456,0.056350053,2.76
45,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.013,0.006,0.026,0.012915865,0.005982036,0.02566491,1.29
46,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0.017,0.008,0.032,0.016856315,0.007968085,0.031493418,1.69
47,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0.041,0.019,0.091,0.04017087,0.018820638,0.086982289,4.02
48,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0.057,0.027,0.118,0.055405931,0.026638758,0.111303947,5.54
49,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.005,0.002,0.009,0.004987521,0.001998001,0.008959621,0.5
50,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.007,0.003,0.012,0.006975557,0.002995504,0.011928287,0.7
51,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.016,0.008,0.033,0.01587268,0.007968085,0.03246144,1.59
52,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0.021,0.01,0.042,0.020781035,0.009950166,0.041130219,2.08
53,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.01,0.005,0.019,0.009950166,0.004987521,0.018820638,1
54,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0.013,0.007,0.025,0.012915865,0.006975557,0.024690088,1.29
55,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0.031,0.015,0.066,0.030524427,0.01488806,0.063869136,3.05
56,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0.043,0.021,0.084,0.04208861,0.020781035,0.080568744,4.21
57,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0.009,0.004,0.018,0.008959621,0.003992011,0.017838968,0.9
58,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0.012,0.006,0.023,0.011928287,0.005982036,0.022737516,1.19
59,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0.029,0.013,0.064,0.028583536,0.012915865,0.061995,2.86
60,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0.04,0.019,0.08,0.039210561,0.018820638,0.076883654,3.92
61,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.018,0.008,0.036,0.017838968,0.007968085,0.035359707,1.78
62,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0.024,0.012,0.046,0.02371429,0.011928287,0.044958038,2.37
63,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0.058,0.026,0.127,0.056350053,0.02566491,0.119266327,5.64
64,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.079,0.037,0.162,0.075960076,0.036323865,0.149558795,7.6
65,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002,0.001,0.004,0.001998001,0.0009995,0.003992011,0.2
66,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.003,0.002,0.005,0.002995504,0.001998001,0.004987521,0.3
67,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.008,0.004,0.015,0.007968085,0.003992011,0.01488806,0.8
68,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0.011,0.006,0.019,0.010939721,0.005982036,0.018820638,1.09
69,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.005,0.003,0.008,0.004987521,0.002995504,0.007968085,0.5
70,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0.006,0.004,0.011,0.005982036,0.003992011,0.010939721,0.6
71,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0.015,0.008,0.029,0.01488806,0.007968085,0.028583536,1.49
72,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0.021,0.011,0.039,0.020781035,0.010939721,0.038249291,2.08
73,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.004,0.002,0.008,0.003992011,0.001998001,0.007968085,0.4
74,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0.006,0.003,0.01,0.005982036,0.002995504,0.009950166,0.6
75,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.014,0.007,0.029,0.013902456,0.006975557,0.028583536,1.39
76,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0.019,0.009,0.038,0.018820638,0.008959621,0.037287059,1.88
77,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.009,0.004,0.016,0.008959621,0.003992011,0.01587268,0.9
78,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0.012,0.006,0.021,0.011928287,0.005982036,0.020781035,1.19
79,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0.028,0.014,0.058,0.027611633,0.013902456,0.056350053,2.76
80,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0.039,0.019,0.076,0.038249291,0.018820638,0.073183793,3.82
81,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.003,0.002,0.006,0.002995504,0.001998001,0.005982036,0.3
82,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0.005,0.002,0.008,0.004987521,0.001998001,0.007968085,0.5
83,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0.011,0.006,0.021,0.010939721,0.005982036,0.020781035,1.09
84,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0.015,0.008,0.027,0.01488806,0.007968085,0.026638758,1.49
85,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.007,0.004,0.012,0.006975557,0.003992011,0.011928287,0.7
86,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0.009,0.005,0.015,0.008959621,0.004987521,0.01488806,0.9
87,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0.022,0.011,0.041,0.021759765,0.010939721,0.04017087,2.18
88,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0.03,0.016,0.053,0.029554466,0.01587268,0.051619988,2.96
89,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0.006,0.003,0.012,0.005982036,0.002995504,0.011928287,0.6
