RF1,RF2,RF3,RF4,RF5,RF6,RF7,RF8,RF9,RF10,est,lci,uci
0,0,0,1,0,1,0,1,1,0,9.146,5.679,14.254
0,0,0,1,0,1,0,1,1,1,10.271,6.376,16.084
0,0,0,1,0,1,1,0,0,0,6.363,2.391,17.029
0,0,0,1,0,1,1,0,0,1,7.149,2.649,19.441
0,0,0,1,0,1,1,0,1,0,6.3,2.366,16.632
0,0,0,1,0,1,1,0,1,1,7.053,2.616,18.703
0,0,0,1,0,1,1,1,0,0,19.087,6.911,50.63
0,0,0,1,0,1,1,1,0,1,21.334,7.598,57.704
0,0,0,1,0,1,1,1,1,0,18.877,6.824,50.168
0,0,0,1,0,1,1,1,1,1,21.101,7.453,56.789
0,0,0,1,1,0,0,0,0,0,5.169,3.67,7.228
0,0,0,1,1,0,0,0,0,1,5.79,4.157,8.129
0,0,0,1,1,0,0,0,1,0,5.117,3.654,7.094
0,0,0,1,1,0,0,0,1,1,5.692,4.083,8.041
0,0,0,1,1,0,0,1,0,0,15.667,9.38,24.547
0,0,0,1,1,0,0,1,0,1,17.507,10.552,27.625
0,0,0,1,1,0,0,1,1,0,15.446,9.336,24.315
0,0,0,1,1,0,0,1,1,1,17.168,10.359,27.395
0,0,0,1,1,0,1,0,0,0,10.779,4.041,28.287
0,0,0,1,1,0,1,0,0,1,12.017,4.598,31.049
0,0,0,1,1,0,1,0,1,0,10.632,4.054,27.387
0,0,0,1,1,0,1,0,1,1,11.856,4.511,30.927
0,0,0,1,1,0,1,1,0,0,31.791,11.764,86.131
0,0,0,1,1,0,1,1,0,1,35.709,12.839,96.2
0,0,0,1,1,0,1,1,1,0,31.415,11.526,84.924
0,0,0,1,1,0,1,1,1,1,35.423,12.579,94.518
0,0,0,1,1,1,0,0,0,0,7.688,5.391,10.669
0,0,0,1,1,1,0,0,0,1,8.578,6.043,12.175
0,0,0,1,1,1,0,0,1,0,7.585,5.299,10.571
0,0,0,1,1,1,0,0,1,1,8.448,5.91,12.06
0,0,0,1,1,1,0,1,0,0,23.199,14.057,35.969
0,0,0,1,1,1,0,1,0,1,25.995,15.614,40.584
