,RF1,RF2,RF3,RF4,RF5,RF6,RF7,RF8,RF9,RF10,RF11,RF12,RF13,RF14,RF15,est,lci,uci
63,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,33.343,17.874,61.114
64,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,44.177,21.845,89.869
65,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.33,1.221,1.462
66,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1.795,1.16,2.649
67,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.379,3.18,6.063
68,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5.899,3.539,9.733
69,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.644,2.375,2.97
70,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,3.576,2.328,5.323
71,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,8.699,6.276,12.065
72,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,11.713,6.942,19.448
73,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.485,1.779,3.359
74,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3.356,1.994,5.394
75,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,8.075,5.253,12.581
76,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,10.954,5.894,19.966
77,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,4.942,3.532,6.775
78,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,6.668,4.04,10.936
79,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,16.153,10.307,25.246
80,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,21.921,11.911,39.766
81,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.868,1.661,2.116
82,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2.535,1.625,3.779
83,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,6.208,4.388,8.523
84,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,8.239,4.959,13.985
85,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3.717,3.227,4.285
86,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,5.036,3.245,7.554
87,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,12.291,8.776,17.323
88,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,16.377,9.949,27.791
89,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3.488,2.461,4.748
90,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,4.705,2.767,7.664
91,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,11.419,7.212,17.778
92,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,15.465,8.359,28.364
93,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,6.965,4.946,9.556
94,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,9.312,5.547,15.388
95,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,22.708,14.206,35.479
96,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,30.795,16.509,56.632
97,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.068,1.372,3.057
98,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2.757,1.623,4.847
